Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
2/5/2026,1,($271.75),($11.90),$0.00,($11.90),$1.90,($271.75),($11.90),0.00%,($11.90),$0.00,($11.90),$0.00,($11.90),0.00,$10.00,$0.00,$11.90,0.42%,
2/11/2026,1,($299.90),($28.15),$0.00,($28.15),$1.90,($299.90),($28.15),0.00%,($28.15),$0.00,($28.15),$0.00,($28.15),0.00,$26.25,$0.00,$28.15,0.42%,
2/12/2026,2,($234.95),$64.95,$64.95,$0.00,$3.80,($274.30),$0.00,100.00%,$32.48,$32.48,$0.00,$39.35,$0.00,0.00,$9.38,$34.38,$1.90,0.84%,
2/17/2026,1,($255.60),($20.65),$0.00,($20.65),$1.90,($255.60),($20.65),0.00%,($20.65),$0.00,($20.65),$0.00,($20.65),0.00,$18.75,$0.00,$20.65,0.42%,
2/18/2026,3,($206.30),$49.30,$51.20,($1.90),$5.70,($233.15),($1.90),66.67%,$16.43,$25.60,($1.90),$26.85,($1.90),0.00,$0.00,$18.33,$1.90,1.27%,
2/19/2026,2,($123.85),$82.45,$82.45,$0.00,$3.80,($181.95),$0.00,100.00%,$41.23,$41.23,$0.00,$58.10,$0.00,5.00,$17.50,$43.13,$1.90,0.84%,
2/23/2026,4,($178.95),($55.10),$0.00,($55.10),$7.60,($178.95),($55.10),0.00%,($13.78),$0.00,($13.78),$0.00,($14.40),430.00,$11.88,$0.00,$13.78,1.69%,
2/24/2026,1,($184.60),($5.65),$0.00,($5.65),$1.90,($184.60),($5.65),0.00%,($5.65),$0.00,($5.65),$0.00,($5.65),5.00,$16.25,$7.50,$13.15,0.42%,
2/26/2026,1,($166.50),$18.10,$18.10,$0.00,$1.90,($166.50),$0.00,100.00%,$18.10,$18.10,$0.00,$18.10,$0.00,10.00,$11.25,$20.00,$1.90,0.42%,
3/2/2026,1,($195.90),($29.40),$0.00,($29.40),$1.90,($195.90),($29.40),0.00%,($29.40),$0.00,($29.40),$0.00,($29.40),5.00,$27.50,$7.50,$36.90,0.42%,
3/3/2026,3,($131.60),$64.30,$91.20,($26.90),$5.70,($193.45),($26.90),66.67%,$21.43,$45.60,($26.90),$61.85,($26.90),0.00,$8.33,$31.67,$10.23,1.27%,
3/5/2026,1,($154.75),($23.15),$0.00,($23.15),$1.90,($154.75),($23.15),0.00%,($23.15),$0.00,($23.15),$0.00,($23.15),0.00,$21.25,$0.00,$23.15,0.42%,
3/6/2026,1,($89.15),$65.60,$65.60,$0.00,$1.90,($89.15),$0.00,100.00%,$65.60,$65.60,$0.00,$65.60,$0.00,15.00,$6.25,$67.50,$1.90,0.42%,
3/10/2026,1,($136.05),($46.90),$0.00,($46.90),$1.90,($136.05),($46.90),0.00%,($46.90),$0.00,($46.90),$0.00,($46.90),0.00,$45.00,$0.00,$46.90,0.42%,
3/11/2026,3,($204.25),($68.20),$0.00,($68.20),$5.70,($204.25),($68.20),0.00%,($22.73),$0.00,($22.73),$0.00,($28.15),5.00,$20.83,$0.00,$22.73,1.27%,
3/13/2026,1,($143.65),$60.60,$60.60,$0.00,$1.90,($143.65),$0.00,100.00%,$60.60,$60.60,$0.00,$60.60,$0.00,5.00,$11.25,$62.50,$1.90,0.42%,
3/18/2026,2,($116.20),$27.45,$38.10,($10.65),$3.80,($116.20),($10.65),50.00%,$13.73,$38.10,($10.65),$38.10,($10.65),375.00,$15.63,$20.00,$6.28,0.84%,
3/19/2026,1,($139.35),($23.15),$0.00,($23.15),$1.90,($139.35),($23.15),0.00%,($23.15),$0.00,($23.15),$0.00,($23.15),0.00,$21.25,$0.00,$23.15,0.42%,
3/20/2026,3,($213.80),($74.45),$0.00,($74.45),$5.70,($213.80),($74.45),0.00%,($24.82),$0.00,($24.82),$0.00,($34.40),305.00,$22.92,$12.92,$37.73,1.27%,
3/23/2026,1,($178.20),$35.60,$35.60,$0.00,$1.90,($178.20),$0.00,100.00%,$35.60,$35.60,$0.00,$35.60,$0.00,0.00,$0.00,$37.50,$1.90,0.42%,
3/31/2026,1,($155.10),$23.10,$23.10,$0.00,$1.90,($155.10),$0.00,100.00%,$23.10,$23.10,$0.00,$23.10,$0.00,0.00,$0.00,$25.00,$1.90,0.42%,
4/1/2026,1,($170.75),($15.65),$0.00,($15.65),$1.90,($170.75),($15.65),0.00%,($15.65),$0.00,($15.65),$0.00,($15.65),0.00,$13.75,$0.00,$15.65,0.42%,
